step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
1,0.2015702836215496,0.2015690617263317,4.52153205871582,1e-06,0.0060226999000624094,0.02446414320729673,150.2780407341197,5.759535179939121,262.4316831328906,74857,35.655469980969194,71.0625,86,0.03125,3,0,0
2,0.12205402739346027,0.12228439375758171,3.5375375747680664,1e-06,0.015486030676709605,0.02608007099479437,82.90483635407872,4.136523640016094,102.23232106119394,105718,129.2619580855447,1018.78125,2554,0.03125,4,0,0
3,0.15531114488840103,0.15511851757764816,3.6434988975524902,1e-06,0.025812983070121757,0.02494676085188985,44.11404462181963,7.173168634995818,67.16797512792982,93824,174.6070203495424,635.03125,2524,0.03125,4,0,0
4,0.11278576031327248,0.11328713099161784,2.737759828567505,1e-06,0.03520238760697511,0.02525881491601467,48.15301623684354,8.133669043891132,76.30244501493871,138698,227.21748951302496,2060.3125,10133,0.03125,5,0,0
5,0.12712746858596802,0.1270163394510746,2.680126905441284,1e-06,0.03098082499911013,0.023893635952845216,47.69472130318172,7.281231724191457,71.34698700695299,121389,212.6736620079175,1529.75,3150,0.03125,5,0,0
6,0.11998339369893074,0.12209463305771351,2.6061885356903076,1e-06,0.04383222812486393,0.0246284871827811,61.86575195007026,3.839481265982613,95.16858496097848,219141,287.8326394285642,4538.09375,13639,0.03125,6,0,0
7,0.11850377358496189,0.11972972564399242,2.740826368331909,1e-06,0.1488944932222474,0.024322977988049388,16.828533604973927,3.5538093019276857,57.278292283881456,202422,441.75112404879405,4061.34375,13006,0.03125,6,0,0
8,0.10696377884596586,0.1069549098610878,2.1899771690368652,1e-06,0.05177091787517244,0.024265280924737453,58.232622449984774,3.239985754014924,105.45203565713018,243658,288.8256239929743,5361.6875,9539,0.03125,7,0,0
9,0.11141291400417686,0.11423617899417877,1.7535560131072998,1e-06,0.15184707168778852,0.0255601960234344,22.387668004026636,4.978249866981059,53.84269991097972,272860,633.4656333428912,6194.03125,17063,0.03125,7,0,0
10,0.11346335429698229,0.11617036312818527,1.8050795793533325,1e-06,0.1546910909252227,0.02406011801213026,22.855081049958244,3.6038287670817226,90.58505162107758,282498,389.8242521041236,6561,16085,0.03125,8,0,0
11,0.11884572776034474,0.1214117482304573,1.5305888652801514,1e-06,0.08645272280016722,0.02855246583931148,36.53697319421917,4.505001975921914,99.32818567799404,254115,319.7921595283637,5681.46875,15630,0.03125,8,0,0
12,0.09725410677492619,0.1088312529027462,1.4556918144226074,1e-06,0.15123874373134996,0.025444350205361843,27.94875249103643,4.126798301003873,78.4319394081831,336227,535.8579083614376,8206.53125,18596,0.03125,9,0,0
13,0.10808754106983542,0.10957670832673709,1.1695120334625244,1e-06,0.15211464839685657,0.024046560050919652,27.008502346929163,6.298668832052499,91.96636520302854,326316,443.52628170039674,7899.375,23187,0.03125,9,0,0
14,0.09751167194917798,0.1070209126919508,1.1102735996246338,1e-06,0.09608073243287257,0.024707550881430507,40.269653321942315,4.743743812199682,336.153699148912,309183,114.97084547292,7370.375,18183,0.03125,10,0,0
15,0.11081352410838008,0.11107588745653629,1.1788665056228638,1e-06,0.15084866433374522,0.024574365932494402,26.429944087052718,4.3436045199632645,117.11713469680399,317262,338.6161222494647,7652.125,23263,0.03125,10,0,0
16,0.03985875332728028,0.08603705267887563,0.43908771872520447,1e-06,0.10717259074406582,0.02410809393040836,53.5654332479462,4.4907298379112035,305.448589543812,446407,182.68499809849737,11672.09375,30566,0.03125,10.8125,0,0
