step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
1,0.05859007983235642,0.06015571940224618,0.7170307040214539,1e-06,0.07786192042012077,0.022342180833220482,169.39264494739473,6.930751438252628,540.9191966261715,986480,227.96380821592356,28559.28125,30575,0.03125,35.0625,0,0
2,0.06024983891984448,0.061941882129758596,0.8187429308891296,1e-06,0.15216231207829842,0.02548118866980076,90.50819253921509,9.403385439887643,375.7590109091252,1027672,341.8653878431326,29829.84375,30557,0.03125,32.1875,0,0
3,0.04973039755714126,0.05469455273123458,0.5678765773773193,1e-06,0.10938918257898016,0.026259341277182102,125.34966535214335,3.4690015455707908,315.3334943205118,1023862,405.8647505105041,29698.71875,30596,0.03125,30.75,0,0
4,0.053879847342614084,0.05559290118981153,0.6294137239456177,1e-06,0.15176327015143845,0.025879827328026295,88.3990189768374,6.681150357238948,219.63337767496705,1002925,570.794959887778,29067.40625,30553,0.03125,34.40625,0,0
5,0.049221922701690346,0.05231256509432569,0.5427344441413879,1e-06,0.15228539982487435,0.022736295126378536,88.71313450857997,6.885853556916118,278.960555691272,1009429,452.3170836368814,29281,30634,0.03125,32.8125,0,0
6,0.049001441831933334,0.05251068691723049,0.5206695199012756,1e-06,0.13307694183705365,0.02280525118112564,103.78018833044916,3.136146795935929,261.37978481594473,1030356,492.7485118663364,29888.5625,30577,0.03125,31.1875,0,0
7,0.04148817714303732,0.04939616928459145,0.4318755269050598,1e-06,0.1084260939007842,0.02180361095815897,124.95771771203727,3.924887574277818,408.6524368477985,1011912,309.52709098149944,29357.90625,30606,0.03125,29.5,0,0
8,0.04789933140273206,0.05265874246833846,0.4634034335613251,1e-06,0.10816642406003217,0.023875273764133453,123.3937724409625,5.153215154074132,627.3355333413929,998015,198.8598897555364,28935.34375,30575,0.03125,34.4375,0,0
9,0.03468538430752233,0.041928373218979686,0.3501533567905426,1e-06,0.15393180037658177,0.030010122805833817,90.9227632433176,6.817000279203057,268.8993820678443,1042805,484.75613442321736,30254.8125,30571,0.03125,27.65625,0,0
10,0.025931244454113767,0.03227611008333042,0.256761372089386,1e-06,0.15149426138576536,0.02334157656878233,91.31405701581389,11.094448901712894,287.5033010151237,1031446,448.4496336033991,29965.625,30579,0.03125,25,0,0
11,0.018347979446843965,0.026942901968141086,0.17552094161510468,1e-06,0.13274061458001116,0.02492558490484953,103.5553692644462,3.465216562151909,312.2074984796345,1025695,410.6623819874824,29793.34375,30603,0.03125,20.59375,0,0
12,0.021409473847597837,0.030077326387981884,0.23548266291618347,1e-06,0.10678189198280726,0.02769028302282095,124.38450222555548,5.134059499017894,334.4777937568724,992544,370.93045432541754,28716.4375,30609,0.03125,19.21875,0,0
13,0.02153182847541757,0.02777773242269177,0.19774867594242096,1e-06,0.15215277073292036,0.021739980205893517,89.28775177150965,5.825604940764606,288.4982958091423,1014163,439.41464071547125,29394.59375,30594,0.03125,19.875,0,0
14,0.02072115827468224,0.028353150002658367,0.180283784866333,1e-06,0.10702958955430733,0.021388369612395763,123.44810061529279,4.675367149524391,344.6496454440057,987081,358.0016014264145,28554.6875,30582,0.03125,16.875,0,0
15,0.023230699720443226,0.029922211906523444,0.20673896372318268,1e-06,0.151651324669111,0.024386723525822163,88.98030177690089,7.5797917898744345,276.8458758732304,1007935,455.097532526338,29235.65625,30615,0.03125,21.96875,0,0
16,0.022362884017638862,0.029429533475195058,0.21467913687229156,1e-06,0.13090931870326067,0.0246980469673872,104.77929988503456,6.826123306527734,344.11179719120264,1022714,371.50499065560155,29681.6875,30574,0.03125,22.5,0,0
17,0.019182937539881095,0.028597173804882914,0.2056065946817398,1e-06,0.08395094301819189,272.34026381373405,155.38348039612174,6.588471049442887,436.2661610515788,976183,279.6982344582382,28215.5625,30593,0.03125,28.1875,0,0
18,0.019843085523461923,0.025802316113064685,0.19327840209007263,1e-06,0.15263299067695502,42.126257210969925,84.28988227713853,3.0675522619858384,129.56975633930415,961646,927.7299996244291,27787.03125,30606,0.03125,19.84375,0.8125,1
19,0.01685609774722252,0.021491303006769158,0.151885524392128,1e-06,0.1519629022610188,118.20166970137507,90.36976222600788,4.209869243204594,212.87026743218303,1024381,601.5289337708653,29742.8125,30623,0.03125,21.59375,0.28125,1
20,0.01488485361187486,0.023002573056146502,0.1529669314622879,1e-06,0.10963478744375772,124.20671434700489,121.91806289833039,5.1567466063424945,251.36514168791473,997008,495.79666919262354,28880.25,30588,0.03125,19.9375,0.3125,1
21,0.015673850051825866,0.025697411809233017,0.14807961881160736,1e-06,0.15370926841630225,70.16345335263759,88.87481391150504,3.288034345023334,162.41366322152317,1019340,784.5245127327105,29592.53125,30581,0.03125,22.03125,0.5625,1
22,0.02003745938418433,0.023890550510259345,0.15875260531902313,1e-06,0.13101734343111882,116.19455904513597,105.42226329259574,6.041218883357942,227.74190896376967,1029755,565.1984546264488,29840.21875,30584,0.03125,24.03125,0.1875,1
23,0.019085606938460842,0.023436966745066456,0.13772332668304443,1e-06,0.15334698673714905,106.1892023794353,90.41072241216898,3.832265338860452,200.51594879012555,1033803,644.4643220637606,30019,30572,0.03125,20.6875,0.28125,1
24,0.029656470753252506,0.031275294721126556,0.15637913346290588,1e-06,0.1535150490166508,144.218866661191,90.09062180202454,9.432961509563029,243.82239307276905,1031511,528.8229410557793,29973.5,30582,0.03125,19.75,0.3125,1
25,0.021075271637528203,0.028591323585715145,0.16662997007369995,1e-06,0.10821988914482301,110.19302960392088,125.17084921244532,5.271501222625375,240.7224872969091,1010723,524.8382750555861,29303.125,30611,0.03125,22.3125,0.3125,1
26,0.027797761431429535,0.029468187916791067,0.16446101665496826,1e-06,0.13098345824774432,94.17899932991713,104.06371381413192,3.605022778734565,201.93459736276418,1017034,629.5565577186331,29496.59375,30587,0.03125,21.03125,0.5625,1
27,0.01892935200885404,0.027078862127382308,0.15965454280376434,1e-06,0.15154582293820074,106.21067600883543,90.67089221253991,4.319823056459427,201.28855289053172,1025183,636.6376684604197,29751.375,30609,0.03125,21.28125,0.34375,1
28,0.02300570934312418,0.02537848037900403,0.17480845749378204,1e-06,0.15261735757730863,112.1962511939928,91.07727511320263,9.393128993920982,212.75942097604275,1035917,608.6199351641442,30100.3125,30606,0.03125,27.53125,0.21875,1
29,0.02166103755007498,0.026081414529471658,0.17800669372081757,1e-06,0.15300270129248994,106.21080180164427,91.24278635624796,7.1102062072604895,204.6508521484211,1040511,635.5403538983185,30236.03125,30615,0.03125,27.25,0.25,1
30,0.022896214592037722,0.031991251045838,0.17732279002666473,1e-06,0.1515478803486539,112.19645871128887,88.3431656267494,8.132595944218338,208.75511686317623,999715,598.6170632737354,28937.25,30581,0.03125,26.75,0.28125,1
31,0.038114421113277785,0.0386329374887282,0.12568175792694092,1e-06,0.13054089791409126,132.2216936275363,99.01579650770873,5.104029237292707,236.43107389099896,966902,511.1965530204416,27959.03125,30596,0.03125,20.90625,0.1875,1
32,0.024377497218665667,0.030654763453640044,0.2141668051481247,1e-06,0.1513379320124139,90.38860558439046,87.02195311523974,4.471811540424824,182.01151161268353,984108,675.8556033629895,28464.21875,30574,0.03125,29.59375,0.3125,1
33,0.022793276933953166,0.0286513577302685,0.17862623929977417,1e-06,0.15291765412331332,122.21951194107533,89.07580073270947,4.314334021881223,215.6909571904689,1016847,589.2962628366353,29515,30563,0.03125,24.75,0.3125,1
34,0.01965152750199195,0.027732608461519703,0.18521913886070251,1e-06,0.14909848925898603,128.2370495889336,84.70429629087448,3.5467871073633432,216.57460655737668,946849,546.4912386607252,27304.4375,30561,0.03125,28.71875,0.34375,1
35,0.019985773877124302,0.029728280031122267,0.16275590658187866,1e-06,0.1529330048458875,126.22110296506435,88.08034909516573,8.985562744550407,223.36700476985425,1005312,562.5898065360085,29109.875,30611,0.03125,27.78125,0.25,1
36,0.028834342607297003,0.02816460470785387,0.10429996252059937,1e-06,0.15196345095571126,132.201879221946,86.97366021759808,5.756824434734881,225.01730457134545,987574,548.6100290604946,28588.75,30587,0.03125,29.78125,0.0625,1
37,0.021671274065738544,0.028389101244101766,0.11762737482786179,1e-06,0.15014589429417013,140.23386042751372,89.54703732207417,4.90023223683238,234.76705630589277,1003000,534.040005326135,29050.34375,30609,0.03125,23.21875,0.15625,1
38,0.03141640326066408,0.0337677522766171,0.19063317775726318,1e-06,0.15084611066958611,126.20894728787243,85.15140194538981,11.97812779713422,223.4346710210666,962286,538.3486343024124,27815.96875,30615,0.03125,37.125,0.3125,1
39,0.021505975411855616,0.024260087870061398,0.2909366190433502,1e-06,0.15185825856894744,138.23016482777894,89.79004729073495,3.674826607108116,231.78175715450197,1017116,548.5310904570064,29510.5625,30605,0.03125,26.125,0.15625,1
40,0.020538594995741732,0.0277452497248305,0.14002437889575958,1e-06,0.1522869485099788,130.2172119449824,85.20422102510929,3.338173351250589,218.84754897467792,970036,554.0592095643252,28027.28125,30623,0.03125,28.25,0.125,1
41,0.02128221972088795,0.02595961072074715,0.16730515658855438,1e-06,0.15078746388157785,132.22011019475758,85.73326938785613,4.105918601155281,222.1392748374492,968566,545.0218116026251,27972.625,30600,0.03125,40.875,0.0625,1
42,0.02071572122804355,0.02208294412412215,0.11809354275465012,1e-06,0.1508450739878717,136.22266377601773,88.49632174521685,3.364204766228795,228.16462373454124,997701,546.5905404559878,28901.96875,30566,0.03125,33.5625,0.0625,1
43,0.018194205971667543,0.022203779153642245,0.11051831394433975,1e-06,0.1513683420267912,134.24844711553305,88.64575331658125,5.086178684607148,228.06805366743356,1002346,549.3678223899841,29046.125,30582,0.03125,37.3125,0.0625,1
44,0.02317362991743721,0.028928086001542397,0.16789118945598602,1e-06,0.15191309643337916,120.21205299906433,85.27423911448568,3.8363282904028893,209.41122339107096,970440,579.2669468028728,28051.0625,30596,0.03125,45.59375,0.125,1
45,0.019906772300601006,0.02413097849736611,0.1337609738111496,1e-06,0.15302023375440868,162.26182364486158,84.67223758716136,4.0382965030148625,251.06907615810633,968737,482.306012564225,27998.0625,30603,0.03125,28.75,0.21875,1
46,0.019582147157052532,0.025797957816394046,0.14880886673927307,1e-06,0.15190875398059522,136.23738277796656,85.81911552045494,5.775967833586037,227.9229354094714,973861,534.0955476082438,28133.21875,30575,0.03125,23.625,0.1875,1
47,0.0210208071366651,0.023923187953187153,0.11690371483564377,1e-06,0.15308343006961736,130.21742998529226,86.13320899568498,4.397919056005776,220.83393996860832,985434,557.7912979205552,28496.21875,30605,0.03125,33.75,0.09375,1
48,0.01779767425614409,0.024134567371220328,0.11591684818267822,1e-06,0.15047390007639092,190.53981272503734,88.83396205399185,4.460233323276043,283.96441140118986,997664,439.1677090260806,28903.875,30578,0.0625,24.3125,0.1875,1
